,bak,en
833,...шәрә күктә ҡояш — ут йомғағы.,"...in the naked sky, (there is) the sun, a ball of fire.|q=[[:w:Mustai Karim|Mustai Karim]]"
834,Шәм уты.,Candle light
835,Өйгә ут үткәреү.,To install electricity in the house.
836,Дмитрий Виноградов — Мәскәүҙәге бер офиста хеҙмәттәштәренә ут асҡан 30 йәшлек юрист.,Dmitri Vinogradov is a 30 year old lawyer who opened fire on his coworkers in an office in Moscow.
837,Ауыл хужалығы күргәҙмәһе.,Agricultural exhibition.
838,Күргәҙмә материалдар.,Visual material.
839,Өфө - Башҡортостандың башҡалаһы.,Ufa is the capital of Bashkortostan.
840,Бөтә юлдар башҡалаға илтә.,All roads bring (you) to the capital.
841,Ваҡыт тиҙ үтә.,Time passes fast.
842,Минең телевизор ҡарарға ваҡытым юҡ.,I dont have time to watch TV.
843,"Бөгөнгө көндә ҡул сәғәте ваҡытты ғына түгел, кешенең абруйын да күрһәтеп тора.","These days, a watch not only shows the time, but also the owners social status."
844,Электрон ғаризалар сираттан тыш ҡарала; был сиратта тороу ваҡытын һәм миграция хеҙмәтенә килеүселәр һанын ҡыҫҡарта.,Electronic applications are reviewed ahead of the queue/line (=take priority); this reduces the time spent in the queue/line as well as the number of those coming to the migration service.
845,"Ваҡыты етмәһә, япраҡ та һабағынан өҙөлмәй.",Even a leaf will not come off from its stem unless its time has come.
846,Йортҡа бәрәкәт!,May bliss be to (this) house!
847,"Беҙҙең йәшәү рәүешебеҙ ни яйлап ҡына, ауылса.",Our way of life is slow and countrilike.
848,Төрлө рәүешкә инә белеү — актёрҙың төп һөнәре.,To be able to act in different images is the main skill of an actor.
849,Урын рәүеше.,"The adverb of place, local adverb."
850,Алмаш кейем.,Change of clothes.
851,"Донъяны көнбайышлаштырыуға алмаш бармы, әллә беҙгә манҡорт булырға яҙғанмы?","Is there an alternative to the westernization of the world, or are we destined to become mankurts (people deprived of their ethnic identities)?"
852,Зат алмаштары.,Personal pronouns.
853,Һорау алмаштары.,Interrogative pronouns.
854,Матбуғат хеҙмәте.,Press service.
855,Һуңғы йылдарҙа һалдат хеҙмәтенең абруйы эҙмә-эҙлекле кәмей бара.,"In the recent years, the prestige of military (lit. soldiers) service has steadily been lowered."
856,Ҡол хеҙмәте.,Slave labor.
857,Хеҙмәт маймылдан кеше яһаған.,Labor created the man from an ape.
858,Таштан яһалған тәүтормош хеҙмәт ҡоралдары.,Primitive instruments of labor made of stone.
859,Көндәлек гәзит.,Daily newspaper
860,Быйыл мин өс гәзиткә яҙылғам.,"This year, Ive subscribed to three newspapers"
861,Гәзит өсөн мәҡәлә яҙғанда мин ғәҙәттә хәл-ваҡиғаға уҡыусы күҙлегенән бағам.,"When I write an article for a newspaper, I usually look at events from the readers point of view."
862,"Беҙҙең илебеҙҙә Интернет түгел, гәзит барып етмәгән, почтальон аяғы баҫмаған мөйөштәр бар һаман.","There are still locations in our country where newspapers do not reach, (where) postmans feet hasnt touched yet, let alone the Internet."
863,Башҡорт телендә баҫым күпселек осраҡтарҙа аҙаҡҡы ижеккә төшә.,"In the Bashkir language, the stress in most cases falls on the last syllable."
864,[[тәмәке тартыу|Тәмәке тартыу]].,To smoke.
865,"Тәмәкене тоҡандырып, бер-ике һурып өлгөрмәнем, кеҫә телефоны шылтыраны.",I lit a cigarette and hardly had taken a couple of drags when (my) cellphone rang.
866,Тәмәкенән баш тартыу.,To quit/give up smoking.
867,Сөгөлдөр һабағы.,Beet stem.
868,"Сөгөлдөр шәкәре ҡамыштыҡынан эрерәк тә, һарыраҡ та.",Beet sugar is coarser and more yellow than cane (sugar).
869,Юл аша тейешле урындан ғына сыҡ.,Cross the street only at a designated place.
870,"Өй түрендәге диванда телевизор ҡарап ултырған инәй беҙҙе күргәс, урынынан тормаҡсы итте, уға үҙебеҙ яҡынланыҡ.","When the grandma watching TV in the back part of the house saw us, (she) attempted to rise from her place, (but) we ourselves came up to her."
871,Етәксе урыны.,Managers position.
872,Урын һалыу.,Make the bed.
873,Кер һабыны.,Laundry soap.
874,Еҫле һабын.,Perfumed soap.
875,Шыйыҡ һабын.,Liquid soap.
876,Китап — белем шишмәһе.,A book is the source of knowledge.
877,Мәктәп ― белем усағы.,School is the seedbed of knowledge.
878,Юғары белем.,Higher/university education.
879,Урта белем.,Secondary/high school education.
880,"“Ғәлиә”лә башлыса Мысырҙа, Сүриәлә, Төркиәлә белем алған билдәле ғалимдар һәм дин белгестәре уҡыта.","The faculty of (the madrasah of) Ğaliya mostly consists of noted scholars and religion (i.e. Islamic) experts who received education in Egypt, Syria and Turkey."
881,Ағас ҡайсыһы.,Garden scissors.
882,Тау саңғыһы.,Alpine skis.
883,Һунарсы саңғыһы.,Hunters skis.
884,Саңғы юлы.,Ski trail.
885,Халыҡ һаны.,Population (=number of people).
886,Башҡорт Википедияһындағы мәҡәләләр һаны меңгә тулды.,"The number of articles in the Bashkir Wikipedia has reached 1,000."
887,Электрон ғаризалар сираттан тыш ҡарала; был сиратта тороу ваҡытын һәм миграция хеҙмәтенә килеүселәр һанын ҡыҫҡарта.,Electronic applications are reviewed ahead of the queue/line (=take priority); this reduces the time spent in the queue/line as well as the number of those coming to the migration service.
888,Ыңғай һан.,A positive number.
889,Осраҡлы һан.,A random number.
890,Тиҫкәре һан төшөнсәһе тәүтапҡыр бишенсе синыфта индерелә.,The concept of a negative number is first introduced in the fifth grade/form.
891,Был осраҡта закон киләһе айҙың 1-се һанынан ғәмәлгә инә.,"In this case, the legal act becomes effective from the first day of the next month."
892,Бының турала беҙ гәзиттең киләһе һанының баш мәҡәләһендә яҙып сығасаҡбыҙ.,"About this, we will write in the lead article in the next issue of the newspaper."
893,Аҡсалата ярҙам.,Financial assistance.
894,Ашығыс ярҙам.,"Emergency aid, ambulance."
895,Көн тейгәндә тәүге ярҙам.,First aid for sunstroke.
896,Миңә һеҙҙең ярҙамығыҙ кәрәк.,I need your (plural) help.
897,"Күперҙе төҙөүселәр тырышып эшләне, ауыл халҡы яғынан да уларға ярҙам булды.",The bridge construction workers worked diligently; there was also assistence to them on the part of the villagers.
898,Һыу кимәле.,Water level.
899,Үҫеш кимәле.,The level of development.
900,Йәшәү кимәле.,The living standard.
901,Тәбиғәт ҡомартҡыһы.,Natural (=wildlife) sanctuary.
902,Был китап быуындан быуынға иң ҡәҙерле ғаилә ҡомартҡыһы булараҡ һаҡланып килгән.,This book has been preserved from generation to generation as a most valued family heirloom.
903,"Буранбайҙың ғына, ай, ҡылысын ҡомартҡыһы итеп тә ҙурлағыҙ.",Revere Buranbays sword as a relic.
